Key,Name,Course,Course Lenght,Length(Weeks),Min,Max, AM Tuition fee (Offshore), AM Tuition fee (Onshore), PM Tuition fee (Offshore), PM Tuition fee (Onshore), Enrolment Fee, Material Fee,Mat Week frecuency, Max week Mat, Morning Timetable,Afternoon Timetable,Night Timetable,Amenities,City,Address,Close to,Id,Lat,Long
Holmes-OHC - Melbourne,Holmes-OHC,IELTS Preparatory,0,13-23 weeks,13,23, $ 244.00 , $ 244.00 ,,, $ 250.00 , $ 7.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Melbourne,"185 Spring St, Melbourne","Casa del Parlamento, Estacion de tren del Parlamento, Jardines del Parlamento, Teatro de comedia, Jardines de Carlton, Museo de Melbourne, Catedral de San Patrick",18,-37.8102902,144.972168
Holmes-OHC - Melbourne,Holmes-OHC,IELTS Preparatory,0,24-35 weeks,24,35, $ 232.00 , $ 232.00 ,,, $ 250.00 , $ 6.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Melbourne,"185 Spring St, Melbourne","Casa del Parlamento, Estacion de tren del Parlamento, Jardines del Parlamento, Teatro de comedia, Jardines de Carlton, Museo de Melbourne, Catedral de San Patrick",18,-37.8102902,144.972168
Holmes-OHC - Melbourne,Holmes-OHC,IELTS Preparatory,0,36+ weeks,36,52, $ 228.00 , $ 228.00 ,,, $ 250.00 , $ 6.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Melbourne,"185 Spring St, Melbourne","Casa del Parlamento, Estacion de tren del Parlamento, Jardines del Parlamento, Teatro de comedia, Jardines de Carlton, Museo de Melbourne, Catedral de San Patrick",18,-37.8102902,144.972168
Holmes-OHC - Melbourne,Holmes-OHC,Academic,0,1-4 weeks,1,4, $ 268.00 , $ 268.00 ,,, $ 250.00 , $ 8.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Melbourne,"185 Spring St, Melbourne","Casa del Parlamento, Estacion de tren del Parlamento, Jardines del Parlamento, Teatro de comedia, Jardines de Carlton, Museo de Melbourne, Catedral de San Patrick",18,-37.8102902,144.972168
Holmes-OHC - Melbourne,Holmes-OHC,Academic,0,5-12 weeks,5,12, $ 256.00 , $ 256.00 ,,, $ 250.00 , $ 8.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Melbourne,"185 Spring St, Melbourne","Casa del Parlamento, Estacion de tren del Parlamento, Jardines del Parlamento, Teatro de comedia, Jardines de Carlton, Museo de Melbourne, Catedral de San Patrick",18,-37.8102902,144.972168
Holmes-OHC - Melbourne,Holmes-OHC,Academic,0,13-23 weeks,13,23, $ 244.00 , $ 244.00 ,,, $ 250.00 , $ 7.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Melbourne,"185 Spring St, Melbourne","Casa del Parlamento, Estacion de tren del Parlamento, Jardines del Parlamento, Teatro de comedia, Jardines de Carlton, Museo de Melbourne, Catedral de San Patrick",18,-37.8102902,144.972168
Holmes-OHC - Melbourne,Holmes-OHC,Academic,0,24-35 weeks,24,35, $ 232.00 , $ 232.00 ,,, $ 250.00 , $ 6.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Melbourne,"185 Spring St, Melbourne","Casa del Parlamento, Estacion de tren del Parlamento, Jardines del Parlamento, Teatro de comedia, Jardines de Carlton, Museo de Melbourne, Catedral de San Patrick",18,-37.8102902,144.972168
Holmes-OHC - Melbourne,Holmes-OHC,Academic,0,36+ weeks,36,52, $ 228.00 , $ 228.00 ,,, $ 250.00 , $ 6.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Melbourne,"185 Spring St, Melbourne","Casa del Parlamento, Estacion de tren del Parlamento, Jardines del Parlamento, Teatro de comedia, Jardines de Carlton, Museo de Melbourne, Catedral de San Patrick",18,-37.8102902,144.972168
Holmes-OHC - Sydney,Holmes-OHC,General English,52,1-4 weeks,1,4, $ 268.00 , $ 268.00 ,,, $ 250.00 , $ 8.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Sydney,"level 1/91 York St, Sydney","Torre de Sydney, Acuario de Sydney, Teatro del Estado, Edificio de Queen Victoria, Darling Harbour, Sydney Town Hall",19,-33.8697848,151.2058274
Holmes-OHC - Sydney,Holmes-OHC,General English,52,5-12 weeks,5,12, $ 256.00 , $ 256.00 ,,, $ 250.00 , $ 8.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Sydney,"level 1/91 York St, Sydney","Torre de Sydney, Acuario de Sydney, Teatro del Estado, Edificio de Queen Victoria, Darling Harbour, Sydney Town Hall",19,-33.8697848,151.2058274
Holmes-OHC - Sydney,Holmes-OHC,General English,52,13-23 weeks,13,23, $ 244.00 , $ 244.00 ,,, $ 250.00 , $ 7.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Sydney,"level 1/91 York St, Sydney","Torre de Sydney, Acuario de Sydney, Teatro del Estado, Edificio de Queen Victoria, Darling Harbour, Sydney Town Hall",19,-33.8697848,151.2058274
Holmes-OHC - Sydney,Holmes-OHC,General English,52,24-35 weeks,24,35, $ 232.00 , $ 232.00 ,,, $ 250.00 , $ 6.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Sydney,"level 1/91 York St, Sydney","Torre de Sydney, Acuario de Sydney, Teatro del Estado, Edificio de Queen Victoria, Darling Harbour, Sydney Town Hall",19,-33.8697848,151.2058274
Holmes-OHC - Sydney,Holmes-OHC,General English,52,36+ weeks,36,52, $ 228.00 , $ 228.00 ,,, $ 250.00 , $ 6.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Sydney,"level 1/91 York St, Sydney","Torre de Sydney, Acuario de Sydney, Teatro del Estado, Edificio de Queen Victoria, Darling Harbour, Sydney Town Hall",19,-33.8697848,151.2058274
Holmes-OHC - Sydney,Holmes-OHC,IELTS Preparatory,0,1-4 weeks,1,4, $ 268.00 , $ 268.00 ,,, $ 250.00 , $ 8.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Sydney,"level 1/91 York St, Sydney","Torre de Sydney, Acuario de Sydney, Teatro del Estado, Edificio de Queen Victoria, Darling Harbour, Sydney Town Hall",19,-33.8697848,151.2058274
Holmes-OHC - Sydney,Holmes-OHC,IELTS Preparatory,0,5-12 weeks,5,12, $ 256.00 , $ 256.00 ,,, $ 250.00 , $ 8.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Sydney,"level 1/91 York St, Sydney","Torre de Sydney, Acuario de Sydney, Teatro del Estado, Edificio de Queen Victoria, Darling Harbour, Sydney Town Hall",19,-33.8697848,151.2058274
Holmes-OHC - Sydney,Holmes-OHC,IELTS Preparatory,0,13-23 weeks,13,23, $ 244.00 , $ 244.00 ,,, $ 250.00 , $ 7.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Sydney,"level 1/91 York St, Sydney","Torre de Sydney, Acuario de Sydney, Teatro del Estado, Edificio de Queen Victoria, Darling Harbour, Sydney Town Hall",19,-33.8697848,151.2058274
Holmes-OHC - Sydney,Holmes-OHC,IELTS Preparatory,0,24-35 weeks,24,35, $ 232.00 , $ 232.00 ,,, $ 250.00 , $ 6.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Sydney,"level 1/91 York St, Sydney","Torre de Sydney, Acuario de Sydney, Teatro del Estado, Edificio de Queen Victoria, Darling Harbour, Sydney Town Hall",19,-33.8697848,151.2058274
Holmes-OHC - Sydney,Holmes-OHC,IELTS Preparatory,0,36+ weeks,36,52, $ 228.00 , $ 228.00 ,,, $ 250.00 , $ 6.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Sydney,"level 1/91 York St, Sydney","Torre de Sydney, Acuario de Sydney, Teatro del Estado, Edificio de Queen Victoria, Darling Harbour, Sydney Town Hall",19,-33.8697848,151.2058274
Holmes-OHC - Sydney,Holmes-OHC,Academic,0,1-4 weeks,1,4, $ 268.00 , $ 268.00 ,,, $ 250.00 , $ 8.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Sydney,"level 1/91 York St, Sydney","Torre de Sydney, Acuario de Sydney, Teatro del Estado, Edificio de Queen Victoria, Darling Harbour, Sydney Town Hall",19,-33.8697848,151.2058274
Holmes-OHC - Sydney,Holmes-OHC,Academic,0,5-12 weeks,5,12, $ 256.00 , $ 256.00 ,,, $ 250.00 , $ 8.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Sydney,"level 1/91 York St, Sydney","Torre de Sydney, Acuario de Sydney, Teatro del Estado, Edificio de Queen Victoria, Darling Harbour, Sydney Town Hall",19,-33.8697848,151.2058274
Holmes-OHC - Sydney,Holmes-OHC,Academic,0,13-23 weeks,13,23, $ 244.00 , $ 244.00 ,,, $ 250.00 , $ 7.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Sydney,"level 1/91 York St, Sydney","Torre de Sydney, Acuario de Sydney, Teatro del Estado, Edificio de Queen Victoria, Darling Harbour, Sydney Town Hall",19,-33.8697848,151.2058274
Holmes-OHC - Sydney,Holmes-OHC,Academic,0,24-35 weeks,24,35, $ 232.00 , $ 232.00 ,,, $ 250.00 , $ 6.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Sydney,"level 1/91 York St, Sydney","Torre de Sydney, Acuario de Sydney, Teatro del Estado, Edificio de Queen Victoria, Darling Harbour, Sydney Town Hall",19,-33.8697848,151.2058274
Holmes-OHC - Sydney,Holmes-OHC,Academic,0,36+ weeks,36,52, $ 228.00 , $ 228.00 ,,, $ 250.00 , $ 6.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Sydney,"level 1/91 York St, Sydney","Torre de Sydney, Acuario de Sydney, Teatro del Estado, Edificio de Queen Victoria, Darling Harbour, Sydney Town Hall",19,-33.8697848,151.2058274
Holmes-OHC - Brisbane,Holmes-OHC,General English,52,1-4 weeks,1,4, $ 268.00 , $ 268.00 ,,, $ 250.00 , $ 8.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Brisbane,"1/171 Elizabeth St, Brisbane City","Jardines Queens, El Centro Myer, Brisbane City Hall, Catedral de San Stephen, Jardines Botanicos de Brisbane",20,-27.4700411,153.0269833
Holmes-OHC - Brisbane,Holmes-OHC,General English,52,5-12 weeks,5,12, $ 256.00 , $ 256.00 ,,, $ 250.00 , $ 8.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Brisbane,"1/171 Elizabeth St, Brisbane City","Jardines Queens, El Centro Myer, Brisbane City Hall, Catedral de San Stephen, Jardines Botanicos de Brisbane",20,-27.4700411,153.0269833
Holmes-OHC - Brisbane,Holmes-OHC,General English,52,13-23 weeks,13,23, $ 244.00 , $ 244.00 ,,, $ 250.00 , $ 7.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Brisbane,"1/171 Elizabeth St, Brisbane City","Jardines Queens, El Centro Myer, Brisbane City Hall, Catedral de San Stephen, Jardines Botanicos de Brisbane",20,-27.4700411,153.0269833
Holmes-OHC - Brisbane,Holmes-OHC,General English,52,24-35 weeks,24,35, $ 232.00 , $ 232.00 ,,, $ 250.00 , $ 6.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Brisbane,"1/171 Elizabeth St, Brisbane City","Jardines Queens, El Centro Myer, Brisbane City Hall, Catedral de San Stephen, Jardines Botanicos de Brisbane",20,-27.4700411,153.0269833
Holmes-OHC - Brisbane,Holmes-OHC,General English,52,36+ weeks,36,52, $ 228.00 , $ 228.00 ,,, $ 250.00 , $ 6.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Brisbane,"1/171 Elizabeth St, Brisbane City","Jardines Queens, El Centro Myer, Brisbane City Hall, Catedral de San Stephen, Jardines Botanicos de Brisbane",20,-27.4700411,153.0269833
Holmes-OHC - Brisbane,Holmes-OHC,IELTS Preparatory,0,1-4 weeks,1,4, $ 268.00 , $ 268.00 ,,, $ 250.00 , $ 8.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Brisbane,"1/171 Elizabeth St, Brisbane City","Jardines Queens, El Centro Myer, Brisbane City Hall, Catedral de San Stephen, Jardines Botanicos de Brisbane",20,-27.4700411,153.0269833
Holmes-OHC - Brisbane,Holmes-OHC,IELTS Preparatory,0,5-12 weeks,5,12, $ 256.00 , $ 256.00 ,,, $ 250.00 , $ 8.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Brisbane,"1/171 Elizabeth St, Brisbane City","Jardines Queens, El Centro Myer, Brisbane City Hall, Catedral de San Stephen, Jardines Botanicos de Brisbane",20,-27.4700411,153.0269833
Holmes-OHC - Brisbane,Holmes-OHC,IELTS Preparatory,0,13-23 weeks,13,23, $ 244.00 , $ 244.00 ,,, $ 250.00 , $ 7.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Brisbane,"1/171 Elizabeth St, Brisbane City","Jardines Queens, El Centro Myer, Brisbane City Hall, Catedral de San Stephen, Jardines Botanicos de Brisbane",20,-27.4700411,153.0269833
Holmes-OHC - Brisbane,Holmes-OHC,IELTS Preparatory,0,24-35 weeks,24,35, $ 232.00 , $ 232.00 ,,, $ 250.00 , $ 6.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Brisbane,"1/171 Elizabeth St, Brisbane City","Jardines Queens, El Centro Myer, Brisbane City Hall, Catedral de San Stephen, Jardines Botanicos de Brisbane",20,-27.4700411,153.0269833
Holmes-OHC - Brisbane,Holmes-OHC,IELTS Preparatory,0,36+ weeks,36,52, $ 228.00 , $ 228.00 ,,, $ 250.00 , $ 6.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Brisbane,"1/171 Elizabeth St, Brisbane City","Jardines Queens, El Centro Myer, Brisbane City Hall, Catedral de San Stephen, Jardines Botanicos de Brisbane",20,-27.4700411,153.0269833
Holmes-OHC - Brisbane,Holmes-OHC,Academic,0,1-4 weeks,1,4, $ 268.00 , $ 268.00 ,,, $ 250.00 , $ 8.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Brisbane,"1/171 Elizabeth St, Brisbane City","Jardines Queens, El Centro Myer, Brisbane City Hall, Catedral de San Stephen, Jardines Botanicos de Brisbane",20,-27.4700411,153.0269833
Holmes-OHC - Brisbane,Holmes-OHC,Academic,0,5-12 weeks,5,12, $ 256.00 , $ 256.00 ,,, $ 250.00 , $ 8.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Brisbane,"1/171 Elizabeth St, Brisbane City","Jardines Queens, El Centro Myer, Brisbane City Hall, Catedral de San Stephen, Jardines Botanicos de Brisbane",20,-27.4700411,153.0269833
Holmes-OHC - Brisbane,Holmes-OHC,Academic,0,13-23 weeks,13,23, $ 244.00 , $ 244.00 ,,, $ 250.00 , $ 7.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Brisbane,"1/171 Elizabeth St, Brisbane City","Jardines Queens, El Centro Myer, Brisbane City Hall, Catedral de San Stephen, Jardines Botanicos de Brisbane",20,-27.4700411,153.0269833
Holmes-OHC - Brisbane,Holmes-OHC,Academic,0,24-35 weeks,24,35, $ 232.00 , $ 232.00 ,,, $ 250.00 , $ 6.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Brisbane,"1/171 Elizabeth St, Brisbane City","Jardines Queens, El Centro Myer, Brisbane City Hall, Catedral de San Stephen, Jardines Botanicos de Brisbane",20,-27.4700411,153.0269833
Holmes-OHC - Brisbane,Holmes-OHC,Academic,0,36+ weeks,36,52, $ 228.00 , $ 228.00 ,,, $ 250.00 , $ 6.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Brisbane,"1/171 Elizabeth St, Brisbane City","Jardines Queens, El Centro Myer, Brisbane City Hall, Catedral de San Stephen, Jardines Botanicos de Brisbane",20,-27.4700411,153.0269833
Orange International College - Melbourne,Orange International College,General English,52,4-10 weeks,4,10, $ 220.00 , $ 220.00 , $ 200.00 , $ 200.00 , $ 200.00 , $ 13.00 ,1,,   Lun - Vie 8:45am - 5:30pm,   Lun - Vie 5:45pm - 9:45pm,,"Salones de clase modernos, Libreria moderna, Salon de computacion, impresoras y fotocopiadoras gratuitas, Cocina moderna con electrodomesticos, Salon de descanso, Salon de estudio privado",Melbourne,"420/416 Collins St, Melbourne","Acuario de Melbourne, Museo de immigracion, Estacion de tren de Flinders street, Crown casino, Southbank",21,-37.8170705,144.9603529
Orange International College - Melbourne,Orange International College,General English,52,11-20 weeks,11,20, $ 200.00 , $ 200.00 , $ 180.00 , $ 180.00 , $ 200.00 , $ 13.00 ,1,,   Lun - Vie 8:45am - 5:30pm,   Lun - Vie 5:45pm - 9:45pm,,"Salones de clase modernos, Libreria moderna, Salon de computacion, impresoras y fotocopiadoras gratuitas, Cocina moderna con electrodomesticos, Salon de descanso, Salon de estudio privado",Melbourne,"420/416 Collins St, Melbourne","Acuario de Melbourne, Museo de immigracion, Estacion de tren de Flinders street, Crown casino, Southbank",21,-37.8170705,144.9603529
Orange International College - Melbourne,Orange International College,General English,52,21+ weeks,21,52, $ 180.00 , $ 180.00 , $ 160.00 , $ 160.00 , $ 200.00 , $ 13.00 ,1,,   Lun - Vie 8:45am - 5:30pm,   Lun - Vie 5:45pm - 9:45pm,,"Salones de clase modernos, Libreria moderna, Salon de computacion, impresoras y fotocopiadoras gratuitas, Cocina moderna con electrodomesticos, Salon de descanso, Salon de estudio privado",Melbourne,"420/416 Collins St, Melbourne","Acuario de Melbourne, Museo de immigracion, Estacion de tren de Flinders street, Crown casino, Southbank",21,-37.8170705,144.9603529
SACE College of English - Melbourne,SACE College of English,General English,52,1-12 weeks,1,12, $ 255.00 , $ 255.00 , $ 215.00 , $ 215.00 , $ 230.00 , $ 12.00 ,1,,   Lun - Vie 8:30am - 1:00pm,   Lun - Vie 5:00pm - 9:15pm,,"Salones de clase modernos, Sala grande de descanso y comunidad, Cocina moderna, Sala de computacion, Internet gratis, Actividades para los estudiantes",Melbourne,"Tower 4, Level 5/18-38 Siddeley St, Melbourne","Crown Casino, Melbourne DFO, Estacion de tren de Southern Cross, Centro de Convenciones de Melbourne, Acuario de Melbourne",22,-37.8226739,144.953839
SACE College of English - Melbourne,SACE College of English,General English,52,13+ weeks,13,52, $ 235.00 , $ 235.00 , $ 215.00 , $ 215.00 , $ 230.00 , $ 12.00 ,1,,   Lun - Vie 8:30am - 1:00pm,   Lun - Vie 5:00pm - 9:15pm,,"Salones de clase modernos, Sala grande de descanso y comunidad, Cocina moderna, Sala de computacion, Internet gratis, Actividades para los estudiantes",Melbourne,"Tower 4, Level 5/18-38 Siddeley St, Melbourne","Crown Casino, Melbourne DFO, Estacion de tren de Southern Cross, Centro de Convenciones de Melbourne, Acuario de Melbourne",22,-37.8226739,144.953839
SACE College of English - Melbourne,SACE College of English,IELTS Preparatory,0,1-12 weeks,1,12, $ 255.00 , $ 255.00 ,,, $ 230.00 , $ 12.00 ,1,,   Lun - Vie 8:30am - 1:00pm,,,"Salones de clase modernos, Sala grande de descanso y comunidad, Cocina moderna, Sala de computacion, Internet gratis, Actividades para los estudiantes",Melbourne,"Tower 4, Level 5/18-38 Siddeley St, Melbourne","Crown Casino, Melbourne DFO, Estacion de tren de Southern Cross, Centro de Convenciones de Melbourne, Acuario de Melbourne",22,-37.8226739,144.953839
SACE College of English - Melbourne,SACE College of English,IELTS Preparatory,0,13+ weeks,13,52, $ 235.00 , $ 235.00 ,,, $ 230.00 , $ 12.00 ,1,,   Lun - Vie 8:30am - 1:00pm,,,"Salones de clase modernos, Sala grande de descanso y comunidad, Cocina moderna, Sala de computacion, Internet gratis, Actividades para los estudiantes",Melbourne,"Tower 4, Level 5/18-38 Siddeley St, Melbourne","Crown Casino, Melbourne DFO, Estacion de tren de Southern Cross, Centro de Convenciones de Melbourne, Acuario de Melbourne",22,-37.8226739,144.953839
SACE College of English - Melbourne,SACE College of English,Academic,0,All,1,52,,, $ 215.00 , $ 215.00 , $ 230.00 , $ 12.00 ,1,,,   Lun - Vie 5:00pm - 9:15pm,,"Salones de clase modernos, Sala grande de descanso y comunidad, Cocina moderna, Sala de computacion, Internet gratis, Actividades para los estudiantes",Melbourne,"Tower 4, Level 5/18-38 Siddeley St, Melbourne","Crown Casino, Melbourne DFO, Estacion de tren de Southern Cross, Centro de Convenciones de Melbourne, Acuario de Melbourne",22,-37.8226739,144.953839
SACE College of English - Adelaide,SACE College of English,General English,52,1-12 weeks,1,12, $ 255.00 , $ 255.00 , $ 215.00 , $ 215.00 , $ 230.00 , $ 12.00 ,1,,   Lun - Vie 9:00am - 1:00pm,   Lun - Vie 5:00pm - 9:15pm,,"Salones de clase modernos, Sala grande de descanso y comunidad, Cocina moderna, Sala de computacion, Internet gratis, Actividades para los estudiantes",Adelaide,"Level 1/47 Waymouth St, Adelaide","Parques Discovery, Universidad de Flinders, Victoria Square, Mercado Central de Adelaide, Teatro Su Majestad, Chinatown",23,-34.9261236,138.5978514
SACE College of English - Adelaide,SACE College of English,General English,52,13+ weeks,13,52, $ 235.00 , $ 235.00 , $ 215.00 , $ 215.00 , $ 230.00 , $ 12.00 ,1,,   Lun - Vie 9:00am - 1:00pm,   Lun - Vie 5:00pm - 9:15pm,,"Salones de clase modernos, Sala grande de descanso y comunidad, Cocina moderna, Sala de computacion, Internet gratis, Actividades para los estudiantes",Adelaide,"Level 1/47 Waymouth St, Adelaide","Parques Discovery, Universidad de Flinders, Victoria Square, Mercado Central de Adelaide, Teatro Su Majestad, Chinatown",23,-34.9261236,138.5978514
SACE College of English - Adelaide,SACE College of English,IELTS Preparatory,0,1-12 weeks,1,12, $ 285.00 , $ 285.00 ,,, $ 230.00 , $ 12.00 ,1,,   Lun - Vie 9:00am - 3:15pm,,,"Salones de clase modernos, Sala grande de descanso y comunidad, Cocina moderna, Sala de computacion, Internet gratis, Actividades para los estudiantes",Adelaide,"Level 1/47 Waymouth St, Adelaide","Parques Discovery, Universidad de Flinders, Victoria Square, Mercado Central de Adelaide, Teatro Su Majestad, Chinatown",23,-34.9261236,138.5978514
SACE College of English - Adelaide,SACE College of English,IELTS Preparatory,0,13+ weeks,13,52, $ 260.00 , $ 260.00 ,,, $ 230.00 , $ 12.00 ,1,,   Lun - Vie 9:00am - 3:15pm,,,"Salones de clase modernos, Sala grande de descanso y comunidad, Cocina moderna, Sala de computacion, Internet gratis, Actividades para los estudiantes",Adelaide,"Level 1/47 Waymouth St, Adelaide","Parques Discovery, Universidad de Flinders, Victoria Square, Mercado Central de Adelaide, Teatro Su Majestad, Chinatown",23,-34.9261236,138.5978514
SACE College of English - Adelaide,SACE College of English,Academic,0,All,1,52,,, $ 215.00 , $ 215.00 , $ 230.00 , $ 12.00 ,1,,,   Lun - Vie 5:00pm - 9:15pm,,"Salones de clase modernos, Sala grande de descanso y comunidad, Cocina moderna, Sala de computacion, Internet gratis, Actividades para los estudiantes",Adelaide,"Level 1/47 Waymouth St, Adelaide","Parques Discovery, Universidad de Flinders, Victoria Square, Mercado Central de Adelaide, Teatro Su Majestad, Chinatown",23,-34.9261236,138.5978514
