Key,Name,Course,Course Lenght,Length(Weeks),Min,Max, AM Tuition fee (Offshore), AM Tuition fee (Onshore), PM Tuition fee (Offshore), PM Tuition fee (Onshore), Enrolment Fee, Material Fee,Mat Week frecuency, Max week Mat, Morning Timetable,Afternoon Timetable,Night Timetable,Amenities,City,Address,Close to,Id,Lat,Long
INUS English - Melbourne,INUS English,General English,52,All,1,52, $ 250.00 , $ 250.00 , $ 220.00 , $ 220.00 , $ 200.00 , $ 10.00 ,1,,   Lun - Vie 8:45am - 2:45pm,   Lun - Vie 5:30pm - 9:45pm,,"Sala de computacion, Libreria con recursos, Fotocopiadora e impresoras, Acceso a silla de ruedas, Internet gratis, Aire acondicionado, Cocina moderna, Cafeteria, ",Melbourne,"85-91 Queen St, Melbourne","Banco de Melbourne, El Museo del Banco de ANZ, Univrsidad de La Trobe, Instituto de Tecnologia Nova, Estacion de tren de Flinders street",6,-37.8164801,144.9610829
INUS English - Melbourne,INUS English,IELTS Preparatory,0,All,1,52, $ 250.00 , $ 250.00 , $ 220.00 , $ 220.00 , $ 200.00 , $ 10.00 ,1,,   Lun - Vie 8:45am - 2:45pm,   Lun - Vie 5:30pm - 9:45pm,,"Sala de computacion, Libreria con recursos, Fotocopiadora e impresoras, Acceso a silla de ruedas, Internet gratis, Aire acondicionado, Cocina moderna, Cafeteria, ",Melbourne,"85-91 Queen St, Melbourne","Banco de Melbourne, El Museo del Banco de ANZ, Univrsidad de La Trobe, Instituto de Tecnologia Nova, Estacion de tren de Flinders street",6,-37.8164801,144.9610829
ANCE - Melbourne,ANCE,General English,52,All,1,52, $ 190.00 , $ 190.00 , $ 190.00 , $ 190.00 , $ 200.00 , $ 85.00 ,15,,   Lun - Jue 8:45am - 2:45pm,,,"Cocina, Sala de reuniones, Aire acondicionado, Salones modernos",Melbourne,"474 Flinders St, Melbourne","Acuario de Melbourne, Estacion de tren Souther Cross, Estadio de Marvel, Crown Casino, Centro de Exhibicion de Melbourne",7,-37.8198244,144.9583012
ANCE - Melbourne,ANCE,IELTS Preparatory,0,All,1,52, $ 190.00 , $ 190.00 , $ 190.00 , $ 190.00 , $ 200.00 , $ 85.00 ,15,,   Lun - Jue 8:45am - 2:45pm,,,"Cocina, Sala de reuniones, Aire acondicionado, Salones modernos",Melbourne,"474 Flinders St, Melbourne","Acuario de Melbourne, Estacion de tren Souther Cross, Estadio de Marvel, Crown Casino, Centro de Exhibicion de Melbourne",7,-37.8198244,144.9583012
ANCE - Melbourne,ANCE,Business English,0,All,1,52, $ 190.00 , $ 190.00 , $ 190.00 , $ 190.00 , $ 200.00 , $ 85.00 ,15,,   Lun - Jue 8:45am - 2:45pm,,,"Cocina, Sala de reuniones, Aire acondicionado, Salones modernos",Melbourne,"474 Flinders St, Melbourne","Acuario de Melbourne, Estacion de tren Souther Cross, Estadio de Marvel, Crown Casino, Centro de Exhibicion de Melbourne",7,-37.8198244,144.9583012
Bayside - Melbourne,Bayside,General English,52,All,1,52, $ 220.00 , $ 190.00 , $ 220.00 , $ 190.00 , $ 200.00 , $ 60.00 ,10,,   Lun - Vie 9:00am - 1:15pm,   Lun - Vie 1:30pm - 5:45pm,   Lun - Vie 4:30pm - 8:30pm,"Cocina, Aire acondicionado, Sala de descanso, Salones modernos, Consejero personal, Salones de reuniones",Melbourne,"55 Acland St, St Kilda","Parque de diversiones Luna Park, Playa de St Kilda, Jardines botanicos de St Kilda, Mercado del Esplanade de St kilda",8,-37.8656452,144.9767993
Bayside - Melbourne,Bayside,IELTS Preparatory,0,All,1,52, $ 220.00 , $ 190.00 , $ 220.00 , $ 190.00 , $ 200.00 , $ 60.00 ,10,,   Lun - Vie 9:00am - 1:15pm,   Lun - Vie 1:30pm - 5:45pm,   Lun - Vie 1:30pm - 5:45pm,"Cocina, Aire acondicionado, Sala de descanso, Salones modernos, Consejero personal, Salones de reuniones",Melbourne,"55 Acland St, St Kilda","Parque de diversiones Luna Park, Playa de St Kilda, Jardines botanicos de St Kilda, Mercado del Esplanade de St kilda",8,-37.8656452,144.9767993
Discover English - Melbourne,Discover English,General English,52,All,1,52, $ 250.00 , $ 250.00 , $ 250.00 , $ 250.00 , $ 220.00 , $ 70.00 ,10,,   Lun - Vie 8:30am - 1:00pm,   Lun - Vie 1:30pm - 5:45pm,,"Internet gratis, Cocina moderna, Sala de descanso, Maquinas expendedoras, Sala de computacion, Aire acondicionado, Salones modernos y espaciosos",Melbourne,"247 Collins St, Melbourne","Estacion de tren de Flinders street, Catedral de San Paul, Federation Square, Melbourne Town Hall, Biblioteca de la ciudad Flinders lane",9,-37.8160721,144.9657225
Discover English - Melbourne,Discover English,IELTS Preparatory,10,All,1,52, $ 250.00 , $ 250.00 , $ 250.00 , $ 250.00 , $ 220.00 , $ 70.00 ,10,,   Lun - Vie 8:30am - 1:00pm,   Lun - Vie 1:30pm - 5:45pm,,"Internet gratis, Cocina moderna, Sala de descanso, Maquinas expendedoras, Sala de computacion, Aire acondicionado, Salones modernos y espaciosos",Melbourne,"247 Collins St, Melbourne","Estacion de tren de Flinders street, Catedral de San Paul, Federation Square, Melbourne Town Hall, Biblioteca de la ciudad Flinders lane",9,-37.8160721,144.9657225
ELSIS - Melbourne,ELSIS,General English,52,All,1,52, $ 220.00 , $ 220.00 , $ 185.00 , $ 185.00 , $ 200.00 , $ 10.00 ,1,,   Lun - Vie 8:15am - 12:30pm,   Lun - Vie 5:10pm - 9:30pm,,"Cocina, Sala de reuniones, Aire acondicionado, Salones modernos",Melbourne,"Level 7, 399 Lonsdale street, Melbourne","Jardines de Flagstaff, Estacion de tren de Flagstaff, CEntro comercial Emporium, Myer, Libreria del Estado de Victoria, Iglesia de San Francis",10,-37.8130231,144.9606243
